CustomerId,Geography,Balance,EstimatedSalary
15634359,Germany,98635.77,199970.74
15634359,Germany,98635.77,199970.74
15815656,Germany,100116.67,199808.1
15815656,Germany,100116.67,199808.1
15687913,Germany,93244.42,199805.63
15687913,Germany,93244.42,199805.63
15772601,Germany,81733.74,199761.29
15772601,Germany,81733.74,199761.29
15661670,Germany,107818.63,199725.39
15661670,Germany,107818.63,199725.39
15672152,Germany,122506.38,199693.84
15672152,Germany,122506.38,199693.84
15698474,Germany,131039.97,199661.5
15698474,Germany,131039.97,199661.5
15743040,Germany,127892.57,199645.45
15743040,Germany,127892.57,199645.45
15721047,Germany,135650.88,199428.19
15721047,Germany,135650.88,199428.19
15572361,Germany,164011.48,199420.41
15572361,Germany,164011.48,199420.41
15574842,Germany,158266.42,199357.24
15574842,Germany,158266.42,199357.24
15707362,Germany,95556.31,199273.98
15707362,Germany,95556.31,199273.98
15669805,Germany,99557.94,199255.32
15669805,Germany,99557.94,199255.32
15775756,Germany,148055.74,199203.21
15775756,Germany,148055.74,199203.21
15742172,Germany,123938.6,198894.42
15742172,Germany,123938.6,198894.42
15585100,Germany,124401.6,198814.24
15585100,Germany,124401.6,198814.24
15801441,Germany,79585.96,198802.9
15801441,Germany,79585.96,198802.9
15662751,Germany,81954.6,198798.44
15662751,Germany,81954.6,198798.44
15583076,Germany,106116.56,198766.61
15583076,Germany,106116.56,198766.61
15658339,Germany,139265.63,198745.94
15658339,Germany,139265.63,198745.94
15616213,Germany,138214.5,198715.27
15616213,Germany,138214.5,198715.27
15599433,Germany,58641.43,198674.08
15599433,Germany,58641.43,198674.08
15569438,Germany,106702.94,198313.69
15569438,Germany,106702.94,198313.69
15763093,Germany,128369.75,198256.15
15763093,Germany,128369.75,198256.15
15750466,Germany,85839.62,198182.73
15750466,Germany,85839.62,198182.73
15760085,Germany,126384.42,198129.36
15760085,Germany,126384.42,198129.36
15583394,Germany,106259.63,198103.32
15583394,Germany,106259.63,198103.32
15650432,Germany,84622.13,198072.16
15650432,Germany,84622.13,198072.16
