_id,CustomerId,CreditScore,Exited
68340eb480d3588bea3141a1,15634602,619,1
68340eb480d3588bea3141a2,15647311,608,0
68340eb480d3588bea3141a3,15619304,502,1
68340eb480d3588bea3141a4,15701354,699,0
68340eb480d3588bea3141a5,15737888,850,0
68340eb480d3588bea3141a6,15574012,645,1
68340eb480d3588bea3141a7,15592531,822,0
68340eb480d3588bea3141a8,15656148,376,1
68340eb480d3588bea3141a9,15792365,501,0
68340eb480d3588bea3141aa,15592389,684,0
68340eb480d3588bea3141ab,15767821,528,0
68340eb480d3588bea3141ac,15737173,497,0
68340eb480d3588bea3141ad,15632264,476,0
68340eb480d3588bea3141ae,15691483,549,0
68340eb480d3588bea3141af,15600882,635,0
68340eb480d3588bea3141b0,15643966,616,0
68340eb480d3588bea3141b1,15737452,653,1
68340eb480d3588bea3141b2,15788218,549,0
68340eb480d3588bea3141b3,15661507,587,0
68340eb480d3588bea3141b4,15568982,726,0
68340eb480d3588bea3141b5,15577657,732,0
68340eb480d3588bea3141b6,15597945,636,0
68340eb480d3588bea3141b7,15699309,510,1
68340eb480d3588bea3141b8,15725737,669,0
68340eb480d3588bea3141b9,15625047,846,0
68340eb480d3588bea3141ba,15738191,577,0
68340eb480d3588bea3141bb,15736816,756,0
68340eb480d3588bea3141bc,15700772,571,0
68340eb480d3588bea3141bd,15728693,574,0
68340eb480d3588bea3141be,15656300,411,0
68340eb480d3588bea3141bf,15589475,591,1
68340eb480d3588bea3141c0,15706552,533,0
68340eb480d3588bea3141c1,15750181,553,0
68340eb480d3588bea3141c2,15659428,520,0
68340eb480d3588bea3141c3,15732963,722,0
68340eb480d3588bea3141c4,15794171,475,1
68340eb480d3588bea3141c5,15788448,490,0
68340eb480d3588bea3141c6,15729599,804,0
68340eb480d3588bea3141c7,15717426,850,0
68340eb480d3588bea3141c8,15585768,582,0
68340eb480d3588bea3141c9,15619360,472,0
68340eb480d3588bea3141ca,15738148,465,1
68340eb480d3588bea3141cb,15687946,556,0
68340eb480d3588bea3141cc,15755196,834,1
68340eb480d3588bea3141cd,15684171,660,0
68340eb480d3588bea3141ce,15754849,776,0
68340eb480d3588bea3141cf,15602280,829,1
68340eb480d3588bea3141d0,15771573,637,1
68340eb480d3588bea3141d1,15766205,550,0
68340eb480d3588bea3141d2,15771873,776,0
68340eb480d3588bea3141d3,15616550,698,0
